"No qualifications"
"Percentage of people aged 16 to 64 with no qualifications"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 20 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/aged-16-to-64-years-with-no-qualifications-great-britain

Area code,Area name,Time period,"Value (%)"
E12000001,North East,2023,8.5
E12000001,North East,2022,8
E12000002,North West,2023,6.7
E12000002,North West,2022,8
E12000003,Yorkshire and The Humber,2023,7.6
E12000003,Yorkshire and The Humber,2022,8
E12000004,East Midlands,2023,7.7
E12000004,East Midlands,2022,7
E12000005,West Midlands,2023,7.3
E12000005,West Midlands,2022,8.5
E12000006,East of England,2023,5.3
E12000006,East of England,2022,5.7
E12000007,London,2023,5.2
E12000007,London,2022,5.8
E12000008,South East,2023,5.1
E12000008,South East,2022,4.9
E12000009,South West,2023,5.1
E12000009,South West,2022,5.5
