"Children in relative poverty"
"Percentage of children aged 0 to 15 living in relative low income families Before Housing Costs (BHC)"
"Source: Department for Work and Pensions"

Data download generated by ONS Explore Local Statistics on 20 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/children-in-relative-poverty

Area code,Area name,Time period,"Value (%)"
E12000001,North East,2023-24,28.400000000000002
E12000001,North East,2022-23,27.800000000000004
E12000001,North East,2021-22,24.8
E12000001,North East,2020-21,23.1
E12000001,North East,2019-20,27.1
E12000001,North East,2018-19,23
E12000001,North East,2017-18,25
E12000001,North East,2016-17,21.8
E12000001,North East,2015-16,21.5
E12000001,North East,2014-15,19.5
E12000002,North West,2023-24,27.800000000000004
E12000002,North West,2022-23,26.900000000000002
E12000002,North West,2021-22,24.099999999999998
E12000002,North West,2020-21,22.5
E12000002,North West,2019-20,25.900000000000002
E12000002,North West,2018-19,22.400000000000002
E12000002,North West,2017-18,23.700000000000003
E12000002,North West,2016-17,20.9
E12000002,North West,2015-16,21.2
E12000002,North West,2014-15,19.7
E12000003,Yorkshire and The Humber,2023-24,30.4
E12000003,Yorkshire and The Humber,2022-23,29.4
E12000003,Yorkshire and The Humber,2021-22,26.900000000000002
E12000003,Yorkshire and The Humber,2020-21,25.4
E12000003,Yorkshire and The Humber,2019-20,29.099999999999998
E12000003,Yorkshire and The Humber,2018-19,25.3
E12000003,Yorkshire and The Humber,2017-18,26.900000000000002
E12000003,Yorkshire and The Humber,2016-17,23.700000000000003
E12000003,Yorkshire and The Humber,2015-16,23.700000000000003
E12000003,Yorkshire and The Humber,2014-15,22
E12000004,East Midlands,2023-24,24.099999999999998
E12000004,East Midlands,2022-23,23.3
E12000004,East Midlands,2021-22,21
E12000004,East Midlands,2020-21,20.1
E12000004,East Midlands,2019-20,23.5
E12000004,East Midlands,2018-19,20
E12000004,East Midlands,2017-18,21.5
E12000004,East Midlands,2016-17,18.8
E12000004,East Midlands,2015-16,18.9
E12000004,East Midlands,2014-15,17.400000000000002
E12000005,West Midlands,2023-24,29.2
E12000005,West Midlands,2022-23,28.6
E12000005,West Midlands,2021-22,26
E12000005,West Midlands,2020-21,24.9
E12000005,West Midlands,2019-20,28.300000000000004
E12000005,West Midlands,2018-19,24.5
E12000005,West Midlands,2017-18,25.900000000000002
E12000005,West Midlands,2016-17,22.6
E12000005,West Midlands,2015-16,22.400000000000002
E12000005,West Midlands,2014-15,20.6
E12000006,East of England,2023-24,17.8
E12000006,East of England,2022-23,17.200000000000003
E12000006,East of England,2021-22,15.7
E12000006,East of England,2020-21,15.7
E12000006,East of England,2019-20,17.7
E12000006,East of England,2018-19,15
E12000006,East of England,2017-18,16.2
E12000006,East of England,2016-17,14.200000000000001
E12000006,East of England,2015-16,14.400000000000002
E12000006,East of England,2014-15,13.600000000000001
E12000007,London,2023-24,17.8
E12000007,London,2022-23,16.7
E12000007,London,2021-22,15
E12000007,London,2020-21,14.7
E12000007,London,2019-20,16
E12000007,London,2018-19,14.100000000000001
E12000007,London,2017-18,15.299999999999999
E12000007,London,2016-17,13.700000000000001
E12000007,London,2015-16,14.100000000000001
E12000007,London,2014-15,13.4
E12000008,South East,2023-24,14.499999999999998
E12000008,South East,2022-23,14.000000000000002
E12000008,South East,2021-22,12.8
E12000008,South East,2020-21,12.8
E12000008,South East,2019-20,14.3
E12000008,South East,2018-19,12.1
E12000008,South East,2017-18,13
E12000008,South East,2016-17,11.3
E12000008,South East,2015-16,11.5
E12000008,South East,2014-15,11
E12000009,South West,2023-24,18.3
E12000009,South West,2022-23,17.3
E12000009,South West,2021-22,15.5
E12000009,South West,2020-21,15.1
E12000009,South West,2019-20,17.7
E12000009,South West,2018-19,14.899999999999999
E12000009,South West,2017-18,16.1
E12000009,South West,2016-17,14.100000000000001
E12000009,South West,2015-16,14.400000000000002
E12000009,South West,2014-15,13.600000000000001
