"Economic inactivity rate (Great Britain)"
"Percentage of people aged 16 to 64 who are not in employment and are not actively seeking work"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 20 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/economic-inactivity-rate

Area code,Area name,Time period,"Value (%)",Confidence interval lower,Confidence interval upper
E12000001,North East,2023,24.2,23,25.4
E12000001,North East,2022,26,24.9,27.1
E12000001,North East,2021,25.3,24.3,26.3
E12000001,North East,2020,23.6,22.700000000000003,24.5
E12000001,North East,2019,25,24.2,25.8
E12000001,North East,2018,24.7,23.9,25.5
E12000001,North East,2017,24.6,23.8,25.400000000000002
E12000001,North East,2016,24.5,23.7,25.3
E12000001,North East,2015,24.8,24,25.6
E12000001,North East,2014,25.1,24.3,25.900000000000002
E12000001,North East,2013,26.2,25.4,27
E12000001,North East,2012,26,25.2,26.8
E12000001,North East,2011,27.4,26.599999999999998,28.2
E12000001,North East,2010,26.6,25.8,27.400000000000002
E12000001,North East,2009,26.7,25.9,27.5
E12000001,North East,2008,25.8,25,26.6
E12000001,North East,2007,25.9,25.099999999999998,26.7
E12000001,North East,2006,26,25.3,26.7
E12000001,North East,2005,26.9,26.299999999999997,27.5
E12000001,North East,2004,27.6,27,28.200000000000003
E12000002,North West,2023,23.3,22.3,24.3
E12000002,North West,2022,23.3,22.5,24.1
E12000002,North West,2021,23.5,22.8,24.2
E12000002,North West,2020,22.6,21.900000000000002,23.3
E12000002,North West,2019,22.3,21.7,22.900000000000002
E12000002,North West,2018,23.1,22.5,23.700000000000003
E12000002,North West,2017,23.5,22.9,24.1
E12000002,North West,2016,24.5,23.9,25.1
E12000002,North West,2015,24.7,24.099999999999998,25.3
E12000002,North West,2014,25.3,24.7,25.900000000000002
E12000002,North West,2013,25.1,24.5,25.700000000000003
E12000002,North West,2012,24.7,24.099999999999998,25.3
E12000002,North West,2011,25.3,24.7,25.900000000000002
E12000002,North West,2010,25.1,24.6,25.6
E12000002,North West,2009,25.4,24.9,25.9
E12000002,North West,2008,25.9,25.4,26.4
E12000002,North West,2007,25.3,24.8,25.8
E12000002,North West,2006,25.4,24.9,25.9
E12000002,North West,2005,25.5,25,26
E12000002,North West,2004,25.9,25.5,26.299999999999997
E12000003,Yorkshire and The Humber,2023,23.2,22.099999999999998,24.3
E12000003,Yorkshire and The Humber,2022,22.6,21.700000000000003,23.5
E12000003,Yorkshire and The Humber,2021,22.7,21.9,23.5
E12000003,Yorkshire and The Humber,2020,22.2,21.4,23
E12000003,Yorkshire and The Humber,2019,22.8,22.1,23.5
E12000003,Yorkshire and The Humber,2018,22.9,22.2,23.599999999999998
E12000003,Yorkshire and The Humber,2017,22.6,21.900000000000002,23.3
E12000003,Yorkshire and The Humber,2016,23.5,22.8,24.2
E12000003,Yorkshire and The Humber,2015,22.8,22.1,23.5
E12000003,Yorkshire and The Humber,2014,23.7,23,24.4
E12000003,Yorkshire and The Humber,2013,23.3,22.6,24
E12000003,Yorkshire and The Humber,2012,23.9,23.2,24.599999999999998
E12000003,Yorkshire and The Humber,2011,25.2,24.5,25.9
E12000003,Yorkshire and The Humber,2010,24.9,24.2,25.599999999999998
E12000003,Yorkshire and The Humber,2009,24.7,24,25.4
E12000003,Yorkshire and The Humber,2008,24.3,23.6,25
E12000003,Yorkshire and The Humber,2007,24.5,23.9,25.1
E12000003,Yorkshire and The Humber,2006,23.9,23.299999999999997,24.5
E12000003,Yorkshire and The Humber,2005,24.1,23.5,24.700000000000003
E12000003,Yorkshire and The Humber,2004,24.4,23.799999999999997,25
E12000004,East Midlands,2023,21.6,20.400000000000002,22.8
E12000004,East Midlands,2022,22.6,21.6,23.6
E12000004,East Midlands,2021,22.3,21.3,23.3
E12000004,East Midlands,2020,20.5,19.5,21.5
E12000004,East Midlands,2019,20,19.1,20.9
E12000004,East Midlands,2018,21.7,20.8,22.599999999999998
E12000004,East Midlands,2017,22.4,21.5,23.299999999999997
E12000004,East Midlands,2016,21.9,21,22.799999999999997
E12000004,East Midlands,2015,22.5,21.6,23.4
E12000004,East Midlands,2014,22,21.2,22.8
E12000004,East Midlands,2013,22.6,21.8,23.400000000000002
E12000004,East Midlands,2012,22.4,21.599999999999998,23.2
E12000004,East Midlands,2011,22.8,22,23.6
E12000004,East Midlands,2010,23.4,22.599999999999998,24.2
E12000004,East Midlands,2009,22.1,21.3,22.900000000000002
E12000004,East Midlands,2008,21.7,20.9,22.5
E12000004,East Midlands,2007,22.3,21.5,23.1
E12000004,East Midlands,2006,21.6,20.8,22.400000000000002
E12000004,East Midlands,2005,22.5,22,23
E12000004,East Midlands,2004,23.2,22.7,23.7
E12000005,West Midlands,2023,21.2,20.099999999999998,22.3
E12000005,West Midlands,2022,22.5,21.6,23.4
E12000005,West Midlands,2021,22.4,21.5,23.299999999999997
E12000005,West Midlands,2020,22.2,21.4,23
E12000005,West Midlands,2019,22.3,21.6,23
E12000005,West Midlands,2018,23,22.3,23.7
E12000005,West Midlands,2017,23.6,22.900000000000002,24.3
E12000005,West Midlands,2016,24.6,23.900000000000002,25.3
