"Further education and skills participation"
"People aged 19 and above participating in further education and skills learning (including apprenticeships), per 100,000 people"
"Source: Department for Education"

Data download generated by ONS Explore Local Statistics on 20 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/further-education-and-skills-participation

Area code,Area name,Time period,"Value (per 100,000 population)"
E12000001,North East,2024-25,6647
E12000001,North East,2023-24,6761
E12000001,North East,2022-23,7046
E12000001,North East,2021-22,6551
E12000001,North East,2020-21,6446
E12000001,North East,2019-20,7020
E12000002,North West,2024-25,5801
E12000002,North West,2023-24,5834
E12000002,North West,2022-23,5734
E12000002,North West,2021-22,5505
E12000002,North West,2020-21,5231
E12000002,North West,2019-20,5624
E12000003,Yorkshire and The Humber,2024-25,5200
E12000003,Yorkshire and The Humber,2023-24,5467
E12000003,Yorkshire and The Humber,2022-23,5536
E12000003,Yorkshire and The Humber,2021-22,5294
E12000003,Yorkshire and The Humber,2020-21,5392
E12000003,Yorkshire and The Humber,2019-20,5871
E12000004,East Midlands,2024-25,5495
E12000004,East Midlands,2023-24,5732
E12000004,East Midlands,2022-23,5461
E12000004,East Midlands,2021-22,5155
E12000004,East Midlands,2020-21,4842
E12000004,East Midlands,2019-20,5346
E12000005,West Midlands,2024-25,5502
E12000005,West Midlands,2023-24,5398
E12000005,West Midlands,2022-23,5526
E12000005,West Midlands,2021-22,5334
E12000005,West Midlands,2020-21,5023
E12000005,West Midlands,2019-20,5401
E12000006,East of England,2024-25,4314
E12000006,East of England,2023-24,4406
E12000006,East of England,2022-23,4333
E12000006,East of England,2021-22,4066
E12000006,East of England,2020-21,4019
E12000006,East of England,2019-20,4113
E12000007,London,2024-25,5171
E12000007,London,2023-24,5378
E12000007,London,2022-23,5577
E12000007,London,2021-22,5386
E12000007,London,2020-21,4992
E12000007,London,2019-20,5177
E12000008,South East,2024-25,4552
E12000008,South East,2023-24,4772
E12000008,South East,2022-23,4741
E12000008,South East,2021-22,4491
E12000008,South East,2020-21,4161
E12000008,South East,2019-20,4430
E12000009,South West,2024-25,4695
E12000009,South West,2023-24,4843
E12000009,South West,2022-23,4998
E12000009,South West,2021-22,4861
E12000009,South West,2020-21,4795
E12000009,South West,2019-20,5024
