"Median age"
"Median age of people"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 20 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/median-age

Area code,Area name,Time period,"Value (years)"
E12000001,North East,2024,41
E12000001,North East,2023,42
E12000001,North East,2022,42
E12000001,North East,2021,42
E12000001,North East,2020,42
E12000001,North East,2019,42
E12000001,North East,2018,42
E12000001,North East,2017,42
E12000001,North East,2016,42
E12000001,North East,2015,42
E12000001,North East,2014,41
E12000001,North East,2013,41
E12000001,North East,2012,41
E12000001,North East,2011,41
E12000001,North East,2010,41
E12000001,North East,2009,40
E12000001,North East,2008,40
E12000001,North East,2007,40
E12000001,North East,2006,40
E12000001,North East,2005,40
E12000001,North East,2004,39
E12000001,North East,2003,39
E12000001,North East,2002,39
E12000001,North East,2001,38
E12000001,North East,2000,38
E12000001,North East,1999,38
E12000001,North East,1998,37
E12000001,North East,1997,37
E12000001,North East,1996,37
E12000001,North East,1995,36
E12000001,North East,1994,36
E12000001,North East,1993,36
E12000001,North East,1992,36
E12000001,North East,1991,36
E12000002,North West,2024,39
E12000002,North West,2023,40
E12000002,North West,2022,40
E12000002,North West,2021,40
E12000002,North West,2020,40
E12000002,North West,2019,40
E12000002,North West,2018,40
E12000002,North West,2017,40
E12000002,North West,2016,40
E12000002,North West,2015,40
E12000002,North West,2014,40
E12000002,North West,2013,40
E12000002,North West,2012,40
E12000002,North West,2011,40
E12000002,North West,2010,39
E12000002,North West,2009,39
E12000002,North West,2008,39
E12000002,North West,2007,39
E12000002,North West,2006,39
E12000002,North West,2005,38
E12000002,North West,2004,38
E12000002,North West,2003,38
E12000002,North West,2002,38
E12000002,North West,2001,38
E12000002,North West,2000,37
E12000002,North West,1999,37
E12000002,North West,1998,37
E12000002,North West,1997,36
E12000002,North West,1996,36
E12000002,North West,1995,36
E12000002,North West,1994,36
E12000002,North West,1993,36
E12000002,North West,1992,35
E12000002,North West,1991,35
E12000003,Yorkshire and The Humber,2024,40
E12000003,Yorkshire and The Humber,2023,40
E12000003,Yorkshire and The Humber,2022,40
E12000003,Yorkshire and The Humber,2021,40
E12000003,Yorkshire and The Humber,2020,40
E12000003,Yorkshire and The Humber,2019,40
E12000003,Yorkshire and The Humber,2018,40
E12000003,Yorkshire and The Humber,2017,40
E12000003,Yorkshire and The Humber,2016,40
E12000003,Yorkshire and The Humber,2015,40
E12000003,Yorkshire and The Humber,2014,40
E12000003,Yorkshire and The Humber,2013,40
E12000003,Yorkshire and The Humber,2012,39
E12000003,Yorkshire and The Humber,2011,39
E12000003,Yorkshire and The Humber,2010,39
E12000003,Yorkshire and The Humber,2009,39
E12000003,Yorkshire and The Humber,2008,39
E12000003,Yorkshire and The Humber,2007,39
E12000003,Yorkshire and The Humber,2006,38
E12000003,Yorkshire and The Humber,2005,38
E12000003,Yorkshire and The Humber,2004,38
E12000003,Yorkshire and The Humber,2003,38
E12000003,Yorkshire and The Humber,2002,38
E12000003,Yorkshire and The Humber,2001,38
E12000003,Yorkshire and The Humber,2000,37
E12000003,Yorkshire and The Humber,1999,37
E12000003,Yorkshire and The Humber,1998,37
E12000003,Yorkshire and The Humber,1997,36
E12000003,Yorkshire and The Humber,1996,36
E12000003,Yorkshire and The Humber,1995,36
E12000003,Yorkshire and The Humber,1994,36
E12000003,Yorkshire and The Humber,1993,36
E12000003,Yorkshire and The Humber,1992,35
E12000003,Yorkshire and The Humber,1991,35
E12000004,East Midlands,2024,41
E12000004,East Midlands,2023,41
E12000004,East Midlands,2022,41
E12000004,East Midlands,2021,41
E12000004,East Midlands,2020,41
E12000004,East Midlands,2019,41
E12000004,East Midlands,2018,41
E12000004,East Midlands,2017,41
E12000004,East Midlands,2016,41
E12000004,East Midlands,2015,41
E12000004,East Midlands,2014,41
E12000004,East Midlands,2013,41
E12000004,East Midlands,2012,40
E12000004,East Midlands,2011,40
E12000004,East Midlands,2010,40
E12000004,East Midlands,2009,40
E12000004,East Midlands,2008,40
E12000004,East Midlands,2007,39
E12000004,East Midlands,2006,39
E12000004,East Midlands,2005,39
E12000004,East Midlands,2004,39
E12000004,East Midlands,2003,39
E12000004,East Midlands,2002,38
E12000004,East Midlands,2001,38
E12000004,East Midlands,2000,38
E12000004,East Midlands,1999,37
E12000004,East Midlands,1998,37
E12000004,East Midlands,1997,37
E12000004,East Midlands,1996,37
E12000004,East Midlands,1995,36
E12000004,East Midlands,1994,36
E12000004,East Midlands,1993,36
E12000004,East Midlands,1992,36
E12000004,East Midlands,1991,36
E12000005,West Midlands,2024,39
E12000005,West Midlands,2023,40
E12000005,West Midlands,2022,40
E12000005,West Midlands,2021,40
E12000005,West Midlands,2020,40
E12000005,West Midlands,2019,40
E12000005,West Midlands,2018,39
E12000005,West Midlands,2017,39
E12000005,West Midlands,2016,39
E12000005,West Midlands,2015,40
E12000005,West Midlands,2014,39
E12000005,West Midlands,2013,39
E12000005,West Midlands,2012,39
E12000005,West Midlands,2011,39
E12000005,West Midlands,2010,39
E12000005,West Midlands,2009,39
E12000005,West Midlands,2008,39
E12000005,West Midlands,2007,38
E12000005,West Midlands,2006,38
E12000005,West Midlands,2005,38
E12000005,West Midlands,2004,38
E12000005,West Midlands,2003,38
E12000005,West Midlands,2002,38
E12000005,West Midlands,2001,37
E12000005,West Midlands,2000,37
E12000005,West Midlands,1999,37
E12000005,West Midlands,1998,37
E12000005,West Midlands,1997,36
E12000005,West Midlands,1996,36
E12000005,West Midlands,1995,36
E12000005,West Midlands,1994,36
E12000005,West Midlands,1993,36
E12000005,West Midlands,1992,35
E12000005,West Midlands,1991,35
E12000006,East of England,2024,41
E12000006,East of England,2023,41
E12000006,East of England,2022,41
E12000006,East of England,2021,41
E12000006,East of England,2020,41
E12000006,East of England,2019,41
E12000006,East of England,2018,41
E12000006,East of England,2017,41
E12000006,East of England,2016,41
E12000006,East of England,2015,41
E12000006,East of England,2014,41
E12000006,East of England,2013,41
E12000006,East of England,2012,40
E12000006,East of England,2011,40
E12000006,East of England,2010,40
E12000006,East of England,2009,40
E12000006,East of England,2008,40
E12000006,East of England,2007,40
E12000006,East of England,2006,39
E12000006,East of England,2005,39
E12000006,East of England,2004,39
E12000006,East of England,2003,39
E12000006,East of England,2002,39
E12000006,East of England,2001,38
E12000006,East of England,2000,38
E12000006,East of England,1999,38
E12000006,East of England,1998,37
E12000006,East of England,1997,37
E12000006,East of England,1996,37
E12000006,East of England,1995,37
E12000006,East of England,1994,37
E12000006,East of England,1993,36
E12000006,East of England,1992,36
E12000006,East of England,1991,36
E12000007,London,2024,35
E12000007,London,2023,35
E12000007,London,2022,35
E12000007,London,2021,35
E12000007,London,2020,35
E12000007,London,2019,35
E12000007,London,2018,35
E12000007,London,2017,34
E12000007,London,2016,34
E12000007,London,2015,34
E12000007,London,2014,34
E12000007,London,2013,34
E12000007,London,2012,33
E12000007,London,2011,33
E12000007,London,2010,33
E12000007,London,2009,33
E12000007,London,2008,33
E12000007,London,2007,34
E12000007,London,2006,34
E12000007,London,2005,34
E12000007,London,2004,34
E12000007,London,2003,34
