"Modelled unemployment rate"
"Modelled percentage of economically active people aged 16 years and over without a job and actively seeking work"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 20 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/modelled-unemployment

Area code,Area name,Time period,"Value (%)",Confidence interval lower,Confidence interval upper
E12000001,North East,2023,3.9,3.3,4.5
E12000001,North East,2022,4.6,4,5.2
E12000001,North East,2021,5.9,5.3,6.5
E12000001,North East,2020,6.4,5.8,7
E12000001,North East,2019,5.8,5.3,6.3
E12000001,North East,2018,5.3,4.8,5.8
E12000001,North East,2017,6.2,5.7,6.7
E12000001,North East,2016,6.6,6.1,7.1
E12000001,North East,2015,7.7,7.2,8.2
E12000001,North East,2014,8.5,7.9,9.1
E12000001,North East,2013,9.9,9.3,10.5
E12000001,North East,2012,10.6,10,11.2
E12000001,North East,2011,10.4,9.8,11
E12000001,North East,2010,9.7,9.1,10.3
E12000001,North East,2009,9.5,8.9,10.1
E12000001,North East,2008,7.4,6.9,7.9
E12000001,North East,2007,6.1,5.6,6.6
E12000001,North East,2006,6.9,6.4,7.4
E12000001,North East,2005,5.6,5.2,6
E12000001,North East,2004,5.8,5.4,6.2
E12000002,North West,2023,3.8,3.3,4.3
E12000002,North West,2022,4.1,3.7,4.5
E12000002,North West,2021,4.6,4.2,5
E12000002,North West,2020,4.3,3.9,4.7
E12000002,North West,2019,4.1,3.8,4.4
E12000002,North West,2018,4,3.7,4.3
E12000002,North West,2017,4.5,4.2,4.8
E12000002,North West,2016,5.2,4.9,5.5
E12000002,North West,2015,5.3,5,5.6
E12000002,North West,2014,7.1,6.7,7.5
E12000002,North West,2013,7.9,7.5,8.3
E12000002,North West,2012,8.5,8.1,8.9
E12000002,North West,2011,8.4,8,8.8
E12000002,North West,2010,8,7.6,8.4
E12000002,North West,2009,8.5,8.1,8.9
E12000002,North West,2008,6.3,6,6.6
E12000002,North West,2007,5.6,5.3,5.9
E12000002,North West,2006,5.3,5,5.6
E12000002,North West,2005,5.2,4.9,5.5
E12000002,North West,2004,4.7,4.5,4.9
E12000003,Yorkshire and The Humber,2023,3.4,2.9,3.9
E12000003,Yorkshire and The Humber,2022,3.6,3.2,4
E12000003,Yorkshire and The Humber,2021,4.5,4,5
E12000003,Yorkshire and The Humber,2020,4.5,4,5
E12000003,Yorkshire and The Humber,2019,4.4,4,4.8
E12000003,Yorkshire and The Humber,2018,4.5,4.1,4.9
E12000003,Yorkshire and The Humber,2017,5,4.6,5.4
E12000003,Yorkshire and The Humber,2016,5.2,4.8,5.6
E12000003,Yorkshire and The Humber,2015,6,5.6,6.4
E12000003,Yorkshire and The Humber,2014,7.4,6.9,7.9
E12000003,Yorkshire and The Humber,2013,8.9,8.4,9.4
E12000003,Yorkshire and The Humber,2012,9.3,8.8,9.8
E12000003,Yorkshire and The Humber,2011,9.4,8.9,9.9
E12000003,Yorkshire and The Humber,2010,8.7,8.2,9.2
E12000003,Yorkshire and The Humber,2009,8.5,8,9
E12000003,Yorkshire and The Humber,2008,6.2,5.8,6.6
E12000003,Yorkshire and The Humber,2007,5.4,5,5.8
E12000003,Yorkshire and The Humber,2006,5.5,5.1,5.9
E12000003,Yorkshire and The Humber,2005,4.8,4.5,5.1
E12000003,Yorkshire and The Humber,2004,4.5,4.2,4.8
E12000004,East Midlands,2023,3.7,3.1,4.3
E12000004,East Midlands,2022,2.9,2.4,3.4
E12000004,East Midlands,2021,4.5,4,5
E12000004,East Midlands,2020,4.9,4.3,5.5
E12000004,East Midlands,2019,3.7,3.2,4.2
E12000004,East Midlands,2018,4.5,4,5
E12000004,East Midlands,2017,4.4,3.9,4.9
E12000004,East Midlands,2016,4.3,3.8,4.8
E12000004,East Midlands,2015,4.7,4.2,5.2
E12000004,East Midlands,2014,5.6,5.1,6.1
E12000004,East Midlands,2013,7.4,6.8,8
E12000004,East Midlands,2012,7.9,7.3,8.5
E12000004,East Midlands,2011,8.1,7.5,8.7
E12000004,East Midlands,2010,7.4,6.8,8
E12000004,East Midlands,2009,7.3,6.7,7.9
E12000004,East Midlands,2008,5.8,5.3,6.3
E12000004,East Midlands,2007,5,4.5,5.5
E12000004,East Midlands,2006,5.2,4.7,5.7
E12000004,East Midlands,2005,4.7,4.4,5
E12000004,East Midlands,2004,4.3,4,4.6
E12000005,West Midlands,2023,4.4,3.8,5
E12000005,West Midlands,2022,4.6,4.1,5.1
E12000005,West Midlands,2021,5,4.5,5.5
E12000005,West Midlands,2020,5.4,4.9,5.9
E12000005,West Midlands,2019,4.8,4.4,5.2
E12000005,West Midlands,2018,4.7,4.3,5.1
E12000005,West Midlands,2017,5.3,4.9,5.7
E12000005,West Midlands,2016,5.5,5.1,5.9
E12000005,West Midlands,2015,5.8,5.4,6.2
E12000005,West Midlands,2014,6.8,6.3,7.3
E12000005,West Midlands,2013,8.5,8,9
E12000005,West Midlands,2012,8.7,8.2,9.2
E12000005,West Midlands,2011,9.3,8.8,9.8
E12000005,West Midlands,2010,8.8,8.3,9.3
E12000005,West Midlands,2009,9.4,8.9,9.9
E12000005,West Midlands,2008,6.9,6.5,7.3
E12000005,West Midlands,2007,5.9,5.5,6.3
E12000005,West Midlands,2006,5.5,5.1,5.9
E12000005,West Midlands,2005,5.1,4.8,5.4
E12000005,West Midlands,2004,5.2,4.9,5.5
E12000006,East of England,2023,3.6,3.1,4.1
E12000006,East of England,2022,2.8,2.4,3.2
E12000006,East of England,2021,3.8,3.4,4.2
E12000006,East of England,2020,3.9,3.5,4.3
E12000006,East of England,2019,3.2,2.8,3.6
E12000006,East of England,2018,3.5,3.1,3.9
E12000006,East of England,2017,3.6,3.2,4
E12000006,East of England,2016,3.9,3.5,4.3
E12000006,East of England,2015,3.9,3.5,4.3
E12000006,East of England,2014,5.2,4.8,5.6
E12000006,East of England,2013,6.1,5.6,6.6
E12000006,East of England,2012,6.6,6.1,7.1
E12000006,East of England,2011,6.7,6.2,7.2
E12000006,East of England,2010,6.6,6.1,7.1
E12000006,East of England,2009,6.3,5.8,6.8
E12000006,East of England,2008,4.9,4.5,5.3
E12000006,East of England,2007,4.3,3.9,4.7
E12000006,East of England,2006,4.6,4.2,5
E12000006,East of England,2005,4,3.7,4.3
E12000006,East of England,2004,3.7,3.5,3.9
E12000007,London,2023,5,4.4,5.6
E12000007,London,2022,4.4,3.9,4.9
E12000007,London,2021,5.6,5.1,6.1
E12000007,London,2020,6,5.5,6.5
E12000007,London,2019,4.6,4.2,5
E12000007,London,2018,5,4.6,5.4
E12000007,London,2017,5.3,4.9,5.7
E12000007,London,2016,5.6,5.2,6
E12000007,London,2015,6.1,5.7,6.5
E12000007,London,2014,7,6.6,7.4
E12000007,London,2013,8.7,8.2,9.2
E12000007,London,2012,9.2,8.7,9.7
E12000007,London,2011,9.5,9,10
E12000007,London,2010,8.9,8.4,9.4
E12000007,London,2009,9.2,8.7,9.7
E12000007,London,2008,7,6.6,7.4
E12000007,London,2007,6.9,6.5,7.3
E12000007,London,2006,7.7,7.3,8.1
E12000007,London,2005,7.2,6.8,7.6
E12000007,London,2004,7.2,6.8,7.6
E12000008,South East,2023,2.9,2.5,3.3
E12000008,South East,2022,3.1,2.8,3.4
E12000008,South East,2021,3.8,3.5,4.1
E12000008,South East,2020,4,3.7,4.3
E12000008,South East,2019,3,2.7,3.3
E12000008,South East,2018,3.4,3.1,3.7
E12000008,South East,2017,3.2,2.9,3.5
E12000008,South East,2016,4,3.7,4.3
E12000008,South East,2015,4.2,3.9,4.5
E12000008,South East,2014,4.8,4.5,5.1
E12000008,South East,2013,5.7,5.4,6
E12000008,South East,2012,6,5.7,6.3
E12000008,South East,2011,5.9,5.5,6.3
E12000008,South East,2010,6,5.6,6.4
E12000008,South East,2009,5.9,5.6,6.2
E12000008,South East,2008,4.4,4.1,4.7
E12000008,South East,2007,4.2,3.9,4.5
E12000008,South East,2006,4.5,4.2,4.8
E12000008,South East,2005,3.7,3.5,3.9
E12000008,South East,2004,3.7,3.5,3.9
E12000009,South West,2023,2.5,2.1,2.9
E12000009,South West,2022,2.6,2.2,3
E12000009,South West,2021,3.3,2.9,3.7
E12000009,South West,2020,3.9,3.5,4.3
E12000009,South West,2019,3.1,2.8,3.4
E12000009,South West,2018,3.1,2.8,3.4
E12000009,South West,2017,3.3,3,3.6
E12000009,South West,2016,4.1,3.7,4.5
E12000009,South West,2015,3.9,3.6,4.2
E12000009,South West,2014,5.1,4.7,5.5
E12000009,South West,2013,5.8,5.4,6.2
E12000009,South West,2012,5.8,5.4,6.2
E12000009,South West,2011,6,5.6,6.4
E12000009,South West,2010,5.9,5.5,6.3
E12000009,South West,2009,6.2,5.8,6.6
E12000009,South West,2008,4.1,3.8,4.4
E12000009,South West,2007,3.9,3.6,4.2
E12000009,South West,2006,3.7,3.4,4
E12000009,South West,2005,3.4,3.2,3.6
E12000009,South West,2004,3.4,3.2,3.6
