"Anxiety"
"Average rating for anxiety during previous day (0 = 'not at all anxious', 10 = 'completely anxious') for people aged 16 and over"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 20 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/wellbeing-anxiety

Area code,Area name,Time period,"Value (score out of 10)",Confidence interval lower,Confidence interval upper
E12000001,North East,2022-23,3.19,3.07,3.31
E12000001,North East,2021-22,3.08,2.98,3.18
E12000001,North East,2020-21,3.31,3.21,3.4
E12000001,North East,2019-20,3.15,3.07,3.23
E12000001,North East,2018-19,2.85,2.77,2.92
E12000001,North East,2017-18,2.92,2.85,3
E12000001,North East,2016-17,2.84,2.76,2.92
E12000001,North East,2015-16,2.99,2.92,3.06
E12000001,North East,2014-15,3,2.93,3.07
E12000001,North East,2013-14,2.97,2.89,3.04
E12000001,North East,2012-13,3.05,2.98,3.13
E12000001,North East,2011-12,3.21,3.13,3.28
E12000002,North West,2022-23,3.32,3.23,3.41
E12000002,North West,2021-22,3.16,3.08,3.23
E12000002,North West,2020-21,3.34,3.26,3.41
E12000002,North West,2019-20,2.97,2.9,3.03
E12000002,North West,2018-19,2.78,2.72,2.84
E12000002,North West,2017-18,2.86,2.8,2.91
E12000002,North West,2016-17,2.93,2.87,2.98
E12000002,North West,2015-16,2.93,2.87,2.98
E12000002,North West,2014-15,2.9,2.85,2.96
E12000002,North West,2013-14,2.93,2.88,2.98
E12000002,North West,2012-13,3.08,3.03,3.13
E12000002,North West,2011-12,3.17,3.12,3.22
E12000003,Yorkshire and The Humber,2022-23,3.28,3.18,3.39
E12000003,Yorkshire and The Humber,2021-22,3.11,3.02,3.21
E12000003,Yorkshire and The Humber,2020-21,3.36,3.27,3.45
E12000003,Yorkshire and The Humber,2019-20,3.07,3,3.14
E12000003,Yorkshire and The Humber,2018-19,2.91,2.84,2.98
E12000003,Yorkshire and The Humber,2017-18,2.92,2.85,2.99
E12000003,Yorkshire and The Humber,2016-17,2.95,2.88,3.02
E12000003,Yorkshire and The Humber,2015-16,2.93,2.87,3
E12000003,Yorkshire and The Humber,2014-15,2.97,2.9,3.03
E12000003,Yorkshire and The Humber,2013-14,2.97,2.91,3.04
E12000003,Yorkshire and The Humber,2012-13,3.03,2.97,3.09
E12000003,Yorkshire and The Humber,2011-12,3.09,3.03,3.15
E12000004,East Midlands,2022-23,3.08,2.97,3.18
E12000004,East Midlands,2021-22,3.08,2.99,3.18
E12000004,East Midlands,2020-21,3.28,3.18,3.38
E12000004,East Midlands,2019-20,2.96,2.87,3.05
E12000004,East Midlands,2018-19,2.82,2.74,2.91
E12000004,East Midlands,2017-18,2.93,2.86,3.01
E12000004,East Midlands,2016-17,2.9,2.82,2.98
E12000004,East Midlands,2015-16,2.75,2.67,2.83
E12000004,East Midlands,2014-15,2.73,2.66,2.81
E12000004,East Midlands,2013-14,2.84,2.77,2.92
E12000004,East Midlands,2012-13,2.95,2.87,3.03
E12000004,East Midlands,2011-12,3.12,3.05,3.19
E12000005,West Midlands,2022-23,3.2,3.1,3.3
E12000005,West Midlands,2021-22,3.09,3,3.17
E12000005,West Midlands,2020-21,3.34,3.25,3.43
E12000005,West Midlands,2019-20,2.9,2.83,2.97
E12000005,West Midlands,2018-19,2.76,2.69,2.84
E12000005,West Midlands,2017-18,2.7,2.64,2.77
E12000005,West Midlands,2016-17,2.8,2.73,2.87
E12000005,West Midlands,2015-16,2.75,2.68,2.82
E12000005,West Midlands,2014-15,2.63,2.56,2.7
E12000005,West Midlands,2013-14,2.67,2.6,2.74
E12000005,West Midlands,2012-13,2.85,2.78,2.92
E12000005,West Midlands,2011-12,3.04,2.97,3.1
E12000006,East of England,2022-23,3.2,3.1,3.3
E12000006,East of England,2021-22,3.02,2.93,3.11
E12000006,East of England,2020-21,3.22,3.13,3.3
E12000006,East of England,2019-20,3.02,2.94,3.1
E12000006,East of England,2018-19,2.73,2.65,2.8
E12000006,East of England,2017-18,2.82,2.75,2.89
E12000006,East of England,2016-17,2.85,2.77,2.92
E12000006,East of England,2015-16,2.78,2.71,2.85
E12000006,East of England,2014-15,2.82,2.75,2.88
E12000006,East of England,2013-14,2.96,2.89,3.02
E12000006,East of England,2012-13,2.97,2.9,3.04
E12000006,East of England,2011-12,3.07,3,3.13
E12000007,London,2022-23,3.34,3.25,3.44
E12000007,London,2021-22,3.28,3.2,3.36
E12000007,London,2020-21,3.38,3.3,3.46
E12000007,London,2019-20,3.18,3.11,3.24
E12000007,London,2018-19,3.1,3.03,3.16
E12000007,London,2017-18,3.13,3.07,3.19
E12000007,London,2016-17,3.12,3.06,3.18
E12000007,London,2015-16,3.04,2.98,3.1
E12000007,London,2014-15,3.02,2.97,3.08
E12000007,London,2013-14,3.18,3.13,3.24
E12000007,London,2012-13,3.27,3.22,3.33
E12000007,London,2011-12,3.42,3.36,3.48
E12000008,South East,2022-23,3.28,3.19,3.37
E12000008,South East,2021-22,3.17,3.1,3.24
E12000008,South East,2020-21,3.27,3.2,3.34
E12000008,South East,2019-20,3.11,3.05,3.17
E12000008,South East,2018-19,2.88,2.82,2.94
E12000008,South East,2017-18,2.92,2.86,2.98
E12000008,South East,2016-17,2.87,2.81,2.93
E12000008,South East,2015-16,2.84,2.79,2.9
E12000008,South East,2014-15,2.82,2.77,2.88
E12000008,South East,2013-14,2.87,2.81,2.92
E12000008,South East,2012-13,3.04,2.99,3.09
E12000008,South East,2011-12,3.07,3.01,3.12
E12000009,South West,2022-23,3.15,3.06,3.25
E12000009,South West,2021-22,3.06,2.98,3.13
E12000009,South West,2020-21,3.24,3.16,3.31
E12000009,South West,2019-20,3,2.94,3.07
E12000009,South West,2018-19,2.86,2.8,2.93
E12000009,South West,2017-18,2.81,2.75,2.88
E12000009,South West,2016-17,2.84,2.77,2.9
E12000009,South West,2015-16,2.8,2.74,2.86
E12000009,South West,2014-15,2.82,2.76,2.88
E12000009,South West,2013-14,2.87,2.81,2.94
E12000009,South West,2012-13,2.99,2.92,3.05
E12000009,South West,2011-12,3,2.93,3.06
