"Life satisfaction"
"Average rating of life satisfaction (0 = 'not at all satisfied', 10 = 'completely satisfied') for people aged 16 and over"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 20 Feb 2026
https://ons.gov.uk/explore-local-statistics/indicators/wellbeing-satisfaction

Area code,Area name,Time period,"Value (score out of 10)",Confidence interval lower,Confidence interval upper
E12000001,North East,2022-23,7.44,7.37,7.52
E12000001,North East,2021-22,7.5,7.43,7.56
E12000001,North East,2020-21,7.36,7.3,7.42
E12000001,North East,2019-20,7.54,7.48,7.59
E12000001,North East,2018-19,7.67,7.62,7.72
E12000001,North East,2017-18,7.66,7.61,7.71
E12000001,North East,2016-17,7.61,7.57,7.66
E12000001,North East,2015-16,7.62,7.57,7.66
E12000001,North East,2014-15,7.57,7.52,7.61
E12000001,North East,2013-14,7.47,7.42,7.52
E12000001,North East,2012-13,7.39,7.34,7.44
E12000001,North East,2011-12,7.44,7.39,7.48
E12000002,North West,2022-23,7.4,7.35,7.45
E12000002,North West,2021-22,7.51,7.47,7.56
E12000002,North West,2020-21,7.36,7.31,7.41
E12000002,North West,2019-20,7.64,7.6,7.67
E12000002,North West,2018-19,7.69,7.66,7.73
E12000002,North West,2017-18,7.68,7.65,7.72
E12000002,North West,2016-17,7.59,7.56,7.63
E12000002,North West,2015-16,7.55,7.51,7.58
E12000002,North West,2014-15,7.56,7.53,7.6
E12000002,North West,2013-14,7.42,7.38,7.45
E12000002,North West,2012-13,7.41,7.37,7.44
E12000002,North West,2011-12,7.37,7.34,7.41
E12000003,Yorkshire and The Humber,2022-23,7.41,7.35,7.48
E12000003,Yorkshire and The Humber,2021-22,7.56,7.51,7.62
E12000003,Yorkshire and The Humber,2020-21,7.32,7.26,7.37
E12000003,Yorkshire and The Humber,2019-20,7.63,7.58,7.67
E12000003,Yorkshire and The Humber,2018-19,7.7,7.65,7.74
E12000003,Yorkshire and The Humber,2017-18,7.66,7.62,7.71
E12000003,Yorkshire and The Humber,2016-17,7.69,7.65,7.74
E12000003,Yorkshire and The Humber,2015-16,7.65,7.61,7.69
E12000003,Yorkshire and The Humber,2014-15,7.55,7.51,7.59
E12000003,Yorkshire and The Humber,2013-14,7.51,7.47,7.55
E12000003,Yorkshire and The Humber,2012-13,7.46,7.42,7.5
E12000003,Yorkshire and The Humber,2011-12,7.39,7.35,7.43
E12000004,East Midlands,2022-23,7.42,7.35,7.5
E12000004,East Midlands,2021-22,7.57,7.51,7.64
E12000004,East Midlands,2020-21,7.44,7.37,7.5
E12000004,East Midlands,2019-20,7.72,7.67,7.77
E12000004,East Midlands,2018-19,7.76,7.7,7.81
E12000004,East Midlands,2017-18,7.72,7.67,7.77
E12000004,East Midlands,2016-17,7.73,7.68,7.78
E12000004,East Midlands,2015-16,7.74,7.69,7.79
E12000004,East Midlands,2014-15,7.64,7.59,7.69
E12000004,East Midlands,2013-14,7.55,7.5,7.59
E12000004,East Midlands,2012-13,7.5,7.45,7.54
E12000004,East Midlands,2011-12,7.47,7.42,7.52
E12000005,West Midlands,2022-23,7.43,7.37,7.49
E12000005,West Midlands,2021-22,7.51,7.46,7.57
E12000005,West Midlands,2020-21,7.39,7.32,7.45
E12000005,West Midlands,2019-20,7.66,7.61,7.71
E12000005,West Midlands,2018-19,7.7,7.66,7.74
E12000005,West Midlands,2017-18,7.67,7.62,7.71
E12000005,West Midlands,2016-17,7.67,7.63,7.71
E12000005,West Midlands,2015-16,7.62,7.58,7.67
E12000005,West Midlands,2014-15,7.57,7.53,7.61
E12000005,West Midlands,2013-14,7.49,7.45,7.53
E12000005,West Midlands,2012-13,7.43,7.38,7.47
E12000005,West Midlands,2011-12,7.28,7.23,7.32
E12000006,East of England,2022-23,7.5,7.43,7.56
E12000006,East of England,2021-22,7.65,7.59,7.7
E12000006,East of England,2020-21,7.47,7.42,7.53
E12000006,East of England,2019-20,7.71,7.66,7.76
E12000006,East of England,2018-19,7.75,7.7,7.79
E12000006,East of England,2017-18,7.72,7.68,7.77
E12000006,East of England,2016-17,7.74,7.7,7.79
E12000006,East of England,2015-16,7.67,7.62,7.71
E12000006,East of England,2014-15,7.66,7.62,7.7
E12000006,East of England,2013-14,7.55,7.5,7.59
E12000006,East of England,2012-13,7.49,7.44,7.53
E12000006,East of England,2011-12,7.46,7.42,7.5
E12000007,London,2022-23,7.35,7.29,7.41
E12000007,London,2021-22,7.46,7.41,7.51
E12000007,London,2020-21,7.27,7.22,7.32
E12000007,London,2019-20,7.54,7.5,7.58
E12000007,London,2018-19,7.58,7.54,7.62
E12000007,London,2017-18,7.52,7.48,7.55
E12000007,London,2016-17,7.54,7.5,7.58
E12000007,London,2015-16,7.5,7.47,7.54
E12000007,London,2014-15,7.49,7.45,7.52
E12000007,London,2013-14,7.36,7.33,7.4
E12000007,London,2012-13,7.25,7.22,7.29
E12000007,London,2011-12,7.25,7.21,7.29
E12000008,South East,2022-23,7.53,7.48,7.59
E12000008,South East,2021-22,7.6,7.56,7.64
E12000008,South East,2020-21,7.4,7.36,7.45
E12000008,South East,2019-20,7.7,7.66,7.74
E12000008,South East,2018-19,7.79,7.76,7.83
E12000008,South East,2017-18,7.76,7.72,7.8
E12000008,South East,2016-17,7.76,7.72,7.79
E12000008,South East,2015-16,7.74,7.71,7.77
E12000008,South East,2014-15,7.73,7.69,7.76
E12000008,South East,2013-14,7.6,7.57,7.63
E12000008,South East,2012-13,7.54,7.51,7.57
E12000008,South East,2011-12,7.51,7.48,7.55
E12000009,South West,2022-23,7.49,7.44,7.55
E12000009,South West,2021-22,7.55,7.51,7.6
E12000009,South West,2020-21,7.5,7.45,7.55
E12000009,South West,2019-20,7.75,7.7,7.79
E12000009,South West,2018-19,7.77,7.73,7.81
E12000009,South West,2017-18,7.76,7.72,7.79
E12000009,South West,2016-17,7.76,7.72,7.79
E12000009,South West,2015-16,7.73,7.7,7.77
E12000009,South West,2014-15,7.66,7.62,7.7
E12000009,South West,2013-14,7.56,7.52,7.6
E12000009,South West,2012-13,7.55,7.51,7.59
E12000009,South West,2011-12,7.53,7.48,7.57
