train_end_month,predict_month,forecast_month,model,rows,cells,MAE,RMSE,k,precision_at_k,hitrate_at_k
2024-11,2024-12,2025-01,ridge,2484,2484,2.8841275877289387,4.212725093873224,124,0.7419354838709677,0.7419354838709677
2024-12,2025-01,2025-02,ridge,2496,2496,2.834747231521481,4.273577927709707,124,0.7338709677419355,0.7338709677419355
2025-01,2025-02,2025-03,ridge,2457,2457,3.055039718836873,4.997664482305031,122,0.7377049180327869,0.7377049180327869
2025-02,2025-03,2025-04,ridge,2582,2582,2.883245290184675,4.365875923413405,129,0.7596899224806202,0.7596899224806202
2025-03,2025-04,2025-05,ridge,2613,2613,2.919333776786139,4.4226078201204455,130,0.7153846153846154,0.7153846153846154
2025-04,2025-05,2025-06,ridge,2620,2620,2.9563348338051756,4.548216296876204,131,0.7251908396946565,0.7251908396946565
2025-05,2025-06,2025-07,ridge,2631,2631,3.047783108278521,4.844092115753308,131,0.7175572519083969,0.7175572519083969
2025-06,2025-07,2025-08,ridge,2647,2647,3.020873828410986,4.803009379414971,132,0.7348484848484849,0.7348484848484849
2025-07,2025-08,2025-09,ridge,2611,2611,2.8875470314196665,4.395172789547279,130,0.7461538461538462,0.7461538461538462
2025-08,2025-09,2025-10,ridge,2574,2574,2.8429027851667814,4.566745666891715,128,0.75,0.75
2025-09,2025-10,2025-11,ridge,2322,2322,3.0468348928022078,4.4106368574577735,116,0.7155172413793104,0.7155172413793104
