train_end_month,predict_month,forecast_month,model,rows,cells,MAE,RMSE,k,precision_at_k,hitrate_at_k
2024-11,2024-12,2025-01,baseline_lag1,2484,2484,3.7314814814814814,5.8049689970197695,124,0.7016129032258065,0.7016129032258065
2024-12,2025-01,2025-02,baseline_lag1,2496,2496,3.519230769230769,5.650547398034627,124,0.6935483870967742,0.6935483870967742
2025-01,2025-02,2025-03,baseline_lag1,2457,2457,3.763939763939764,5.8744841909366405,122,0.6967213114754098,0.6967213114754098
2025-02,2025-03,2025-04,baseline_lag1,2582,2582,3.5987606506584044,5.543434578387703,129,0.7209302325581395,0.7209302325581395
2025-03,2025-04,2025-05,baseline_lag1,2613,2613,3.7699961729812475,5.798669628491552,130,0.6307692307692307,0.6307692307692307
2025-04,2025-05,2025-06,baseline_lag1,2620,2620,3.8244274809160306,5.9462606121137656,131,0.6412213740458015,0.6412213740458015
2025-05,2025-06,2025-07,baseline_lag1,2631,2631,3.7780311668567084,5.8315385195616365,131,0.6106870229007634,0.6106870229007634
2025-06,2025-07,2025-08,baseline_lag1,2647,2647,3.897997733282962,6.286029508480571,132,0.6363636363636364,0.6363636363636364
2025-07,2025-08,2025-09,baseline_lag1,2611,2611,3.833397165836844,5.96051735498079,130,0.6461538461538462,0.6461538461538462
2025-08,2025-09,2025-10,baseline_lag1,2574,2574,3.7296037296037294,6.133644970293,128,0.6484375,0.6484375
2025-09,2025-10,2025-11,baseline_lag1,2322,2322,3.76442721791559,5.587106789197948,116,0.6637931034482759,0.6637931034482759
