train_end_month,predict_month,forecast_month,model,rows,cells,MAE,RMSE,k,precision_at_k,hitrate_at_k
2024-11,2024-12,2025-01,ridge,2429,2429,2.924289997396662,4.256404193867565,121,0.743801652892562,0.743801652892562
2024-12,2025-01,2025-02,ridge,2439,2439,2.8686528887538425,4.30346095650617,121,0.7355371900826446,0.7355371900826446
2025-01,2025-02,2025-03,ridge,2405,2405,3.0866979254243585,5.036368734445883,120,0.7333333333333333,0.7333333333333333
2025-02,2025-03,2025-04,ridge,2533,2533,2.909678165661052,4.400504355660313,126,0.7698412698412699,0.7698412698412699
2025-03,2025-04,2025-05,ridge,2551,2551,2.9512904931939743,4.453684778568824,127,0.7007874015748031,0.7007874015748031
2025-04,2025-05,2025-06,ridge,2565,2565,2.9952818683825497,4.586253954195516,128,0.71875,0.71875
2025-05,2025-06,2025-07,ridge,2573,2573,3.0699726214394043,4.863718740326562,128,0.71875,0.71875
2025-06,2025-07,2025-08,ridge,2591,2591,3.0318082355455163,4.75588921512455,129,0.7286821705426356,0.7286821705426356
2025-07,2025-08,2025-09,ridge,2554,2554,2.9037600991113774,4.396119145901337,127,0.7322834645669292,0.7322834645669292
2025-08,2025-09,2025-10,ridge,2521,2521,2.861772638876678,4.58795147612316,126,0.746031746031746,0.746031746031746
2025-09,2025-10,2025-11,ridge,2269,2269,3.0714538252690424,4.4433849826869825,113,0.7079646017699115,0.7079646017699115
